,age,job,marital,education,housing,loan,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
21639,30,technician,married,5.0,yes,no,1.4,93.444,-36.1,4.963,5228,no
11438,33,blue-collar,divorced,3.0,no,no,1.4,94.465,-41.8,4.959,5228,no
221,43,technician,married,,no,no,1.1,93.994,-36.4,4.857,5191,no
11398,38,blue-collar,married,3.0,yes,no,1.4,94.465,-41.8,4.959,5228,no
27523,53,admin.,divorced,5.0,yes,yes,-0.1,93.2,-42.0,4.021,5196,no
32719,29,technician,single,4.0,yes,no,-1.8,92.893,-46.2,1.299,5099,no
7015,33,management,married,7.0,yes,no,1.1,93.994,-36.4,4.86,5191,no
16228,28,technician,single,5.0,no,no,1.4,93.918,-42.7,4.961,5228,no
32491,37,blue-collar,married,2.0,yes,yes,-1.8,92.893,-46.2,1.313,5099,no
2286,48,admin.,married,5.0,yes,no,1.1,93.994,-36.4,4.856,5191,no
13137,35,self-employed,single,7.0,yes,no,1.4,93.918,-42.7,4.962,5228,yes
28649,33,admin.,married,7.0,yes,no,-1.8,93.075,-47.1,1.41,5099,no
31113,37,blue-collar,divorced,4.0,yes,no,-1.8,92.893,-46.2,1.334,5099,no
38038,59,management,married,,yes,no,-3.4,92.379,-29.8,0.778,5018,no
17982,38,admin.,married,7.0,yes,no,1.4,93.918,-42.7,4.961,5228,no
9564,53,admin.,single,3.0,yes,no,1.4,94.465,-41.8,4.961,5228,no
12675,29,admin.,single,,yes,no,1.4,93.918,-42.7,4.96,5228,no
23874,32,admin.,divorced,7.0,no,no,1.4,93.444,-36.1,4.963,5228,no
14471,34,services,divorced,5.0,no,yes,1.4,93.918,-42.7,4.961,5228,no
8564,32,admin.,single,7.0,yes,yes,1.4,94.465,-41.8,4.864,5228,no
37845,25,student,single,,yes,no,-2.9,92.201,-31.4,0.825,5076,no
25145,54,self-employed,married,4.0,no,yes,-0.1,93.2,-42.0,4.153,5196,no
7866,35,blue-collar,married,4.0,yes,no,1.4,94.465,-41.8,4.865,5228,no
20132,37,admin.,married,7.0,no,yes,1.4,93.444,-36.1,4.965,5228,no
39072,29,admin.,married,7.0,yes,no,-3.0,92.713,-33.0,0.709,5024,no
30024,45,technician,divorced,7.0,no,yes,-1.8,93.075,-47.1,1.405,5099,no
21651,45,technician,married,5.0,yes,no,1.4,93.444,-36.1,4.963,5228,no
10190,36,technician,married,6.0,no,yes,1.4,94.465,-41.8,4.958,5228,no
16836,52,technician,married,6.0,no,no,1.4,93.918,-42.7,4.962,5228,no
4927,32,blue-collar,divorced,4.0,no,no,1.1,93.994,-36.4,4.858,5191,no
18789,25,student,single,5.0,no,no,1.4,93.918,-42.7,4.968,5228,no
14347,28,admin.,single,5.0,no,yes,1.4,93.918,-42.7,4.962,5228,no
24091,33,technician,single,6.0,yes,no,-0.1,93.2,-42.0,4.406,5196,no
18751,45,blue-collar,married,3.0,no,yes,1.4,93.918,-42.7,4.968,5228,no
38909,83,retired,divorced,2.0,yes,yes,-3.4,92.649,-30.1,0.716,5018,no
20350,32,admin.,married,7.0,yes,no,1.4,93.444,-36.1,4.966,5228,no
12388,48,admin.,married,7.0,yes,no,1.4,93.918,-42.7,4.96,5228,no
31826,45,admin.,married,5.0,yes,no,-1.8,92.893,-46.2,1.327,5099,no
12370,29,admin.,married,4.0,yes,no,1.4,93.918,-42.7,4.959,5228,no
12307,43,management,married,5.0,no,yes,1.4,93.918,-42.7,4.959,5228,no
16143,35,admin.,married,7.0,yes,no,1.4,93.918,-42.7,4.961,5228,no
5420,56,retired,divorced,2.0,yes,yes,1.1,93.994,-36.4,4.857,5191,no
31254,33,technician,married,6.0,no,yes,-1.8,92.893,-46.2,1.334,5099,no
23337,45,admin.,married,7.0,yes,no,1.4,93.444,-36.1,4.964,5228,no
33325,39,technician,single,6.0,yes,no,-1.8,92.893,-46.2,1.291,5099,no
31014,29,entrepreneur,married,3.0,no,no,-1.8,92.893,-46.2,1.344,5099,no
33276,33,self-employed,single,5.0,yes,yes,-1.8,92.893,-46.2,1.291,5099,no
35163,25,blue-collar,single,3.0,yes,no,-1.8,92.893,-46.2,1.25,5099,no
14172,28,admin.,married,7.0,no,no,1.4,93.918,-42.7,4.962,5228,no
17607,49,blue-collar,divorced,3.0,no,no,1.4,93.918,-42.7,4.962,5228,yes
39972,34,unemployed,single,7.0,no,no,-1.7,94.055,-39.8,0.761,4992,yes
26996,33,admin.,married,7.0,no,no,-0.1,93.2,-42.0,4.076,5196,no
11212,47,blue-collar,married,3.0,yes,no,1.4,94.465,-41.8,4.961,5228,no
22581,39,admin.,married,7.0,no,no,1.4,93.444,-36.1,4.964,5228,no
39026,64,housemaid,married,2.0,no,no,-3.0,92.713,-33.0,0.714,5024,yes
13804,27,services,married,5.0,no,no,1.4,93.918,-42.7,4.963,5228,no
9940,35,admin.,married,7.0,yes,no,1.4,94.465,-41.8,4.959,5228,no
23437,39,technician,married,5.0,yes,no,1.4,93.444,-36.1,4.964,5228,no
11308,38,admin.,married,7.0,no,no,1.4,94.465,-41.8,4.961,5228,no
40939,27,student,single,5.0,no,no,-1.1,94.601,-49.5,0.982,4964,no
6213,52,management,married,6.0,yes,no,1.1,93.994,-36.4,4.857,5191,yes
35338,26,entrepreneur,married,6.0,no,no,-1.8,92.893,-46.2,1.25,5099,no
25057,32,admin.,single,7.0,no,no,-0.1,93.2,-42.0,4.153,5196,no
10640,32,technician,married,6.0,yes,no,1.4,94.465,-41.8,4.961,5228,no
8167,44,blue-collar,single,2.0,yes,no,1.4,94.465,-41.8,4.864,5228,no
6690,30,blue-collar,single,4.0,no,no,1.1,93.994,-36.4,4.857,5191,no
26730,47,management,married,7.0,yes,yes,-0.1,93.2,-42.0,4.076,5196,no
8763,23,services,single,6.0,no,no,1.4,94.465,-41.8,4.866,5228,no
14508,28,admin.,married,5.0,no,no,1.4,93.918,-42.7,4.961,5228,no
30186,39,technician,married,4.0,yes,no,-1.8,93.075,-47.1,1.365,5099,yes
3920,44,blue-collar,married,3.0,yes,yes,1.1,93.994,-36.4,4.858,5191,no
36942,59,admin.,married,7.0,yes,yes,-2.9,92.469,-33.6,1.085,5076,no
40362,35,technician,married,7.0,yes,no,-1.7,94.027,-38.3,0.9,4992,yes
14738,24,admin.,single,5.0,no,no,1.4,93.918,-42.7,4.957,5228,no
502,33,admin.,married,4.0,no,no,1.1,93.994,-36.4,4.857,5191,no
39981,35,admin.,married,7.0,yes,no,-1.7,94.055,-39.8,0.761,4992,no
11945,41,self-employed,single,7.0,yes,yes,1.4,94.465,-41.8,4.958,5228,no
23850,38,admin.,married,7.0,no,no,1.4,93.444,-36.1,4.963,5228,no
16156,35,blue-collar,married,7.0,,,1.4,93.918,-42.7,4.961,5228,no
14423,28,blue-collar,single,2.0,no,no,1.4,93.918,-42.7,4.961,5228,no
6239,42,admin.,married,5.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
11144,35,self-employed,married,2.0,no,no,1.4,94.465,-41.8,4.961,5228,no
31705,38,admin.,married,5.0,yes,yes,-1.8,92.893,-46.2,1.327,5099,yes
25045,29,management,single,7.0,no,yes,-0.1,93.2,-42.0,4.153,5196,no
36174,26,self-employed,single,7.0,no,no,-1.8,92.893,-46.2,1.27,5099,no
29657,53,blue-collar,married,5.0,yes,no,-1.8,93.075,-47.1,1.405,5099,no
34184,29,admin.,single,7.0,yes,no,-1.8,92.893,-46.2,1.281,5099,no
26151,36,admin.,single,7.0,yes,no,-0.1,93.2,-42.0,4.12,5196,no
24285,46,unemployed,married,7.0,no,no,-0.1,93.2,-42.0,4.191,5196,no
2362,45,services,married,5.0,yes,no,1.1,93.994,-36.4,4.856,5191,no
14534,31,technician,single,6.0,no,no,1.4,93.918,-42.7,4.961,5228,no
29122,44,admin.,married,7.0,yes,yes,-1.8,93.075,-47.1,1.405,5099,no
41035,30,technician,married,6.0,yes,no,-1.1,94.601,-49.5,1.032,4964,yes
32375,29,blue-collar,single,2.0,yes,no,-1.8,92.893,-46.2,1.313,5099,no
24658,35,blue-collar,married,5.0,yes,yes,-0.1,93.2,-42.0,4.191,5196,no
2869,41,technician,married,4.0,yes,no,1.1,93.994,-36.4,4.859,5191,no
2713,41,technician,married,5.0,yes,no,1.1,93.994,-36.4,4.859,5191,yes
20052,34,technician,married,5.0,yes,no,1.4,93.444,-36.1,4.965,5228,no
26188,41,technician,married,4.0,yes,no,-0.1,93.2,-42.0,4.076,5196,no
7663,35,technician,single,7.0,no,no,1.1,93.994,-36.4,4.864,5191,no
1338,37,admin.,divorced,7.0,yes,no,1.1,93.994,-36.4,4.855,5191,no
373,22,blue-collar,single,4.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
20021,41,technician,divorced,7.0,yes,yes,1.4,93.444,-36.1,4.966,5228,no
40751,31,admin.,married,7.0,yes,no,-1.1,94.199,-37.5,0.879,4964,yes
16443,59,technician,divorced,4.0,yes,no,1.4,93.918,-42.7,4.963,5228,no
39915,36,blue-collar,single,5.0,no,no,-1.7,94.055,-39.8,0.739,4992,yes
22150,38,admin.,single,7.0,yes,no,1.4,93.444,-36.1,4.963,5228,no
25331,47,management,married,7.0,no,no,-0.1,93.2,-42.0,4.153,5196,no
33411,44,unemployed,married,5.0,yes,no,-1.8,92.893,-46.2,1.291,5099,no
4786,43,admin.,married,5.0,no,no,1.1,93.994,-36.4,4.858,5191,no
5634,34,services,divorced,4.0,no,yes,1.1,93.994,-36.4,4.857,5191,no
27527,31,admin.,single,5.0,yes,no,-0.1,93.2,-42.0,4.021,5196,no
29858,45,blue-collar,married,3.0,yes,no,-1.8,93.075,-47.1,1.405,5099,no
16860,52,services,married,5.0,no,no,1.4,93.918,-42.7,4.962,5228,no
24259,39,unemployed,married,6.0,yes,no,-0.1,93.2,-42.0,4.191,5196,no
22622,60,management,married,7.0,yes,no,1.4,93.444,-36.1,4.964,5228,no
20833,58,blue-collar,married,4.0,no,no,1.4,93.444,-36.1,4.965,5228,no
37237,73,retired,married,4.0,no,no,-2.9,92.201,-31.4,0.881,5076,no
14261,48,management,married,7.0,yes,no,1.4,93.918,-42.7,4.962,5228,no
27510,51,admin.,divorced,4.0,yes,no,-0.1,93.2,-42.0,4.021,5196,no
15686,35,admin.,single,7.0,yes,no,1.4,93.918,-42.7,4.96,5228,no
20221,34,technician,single,6.0,no,no,1.4,93.444,-36.1,4.965,5228,no
29853,33,housemaid,married,2.0,yes,no,-1.8,93.075,-47.1,1.405,5099,no
14625,51,admin.,divorced,6.0,yes,no,1.4,93.918,-42.7,4.961,5228,no
21250,34,admin.,married,7.0,yes,yes,1.4,93.444,-36.1,4.963,5228,no
14938,42,technician,married,5.0,no,no,1.4,93.918,-42.7,4.957,5228,no
14593,28,blue-collar,single,5.0,yes,no,1.4,93.918,-42.7,4.961,5228,no
36577,33,management,divorced,7.0,yes,no,-2.9,92.963,-40.8,1.26,5076,yes
9820,39,admin.,single,5.0,no,no,1.4,94.465,-41.8,4.959,5228,no
20799,57,management,married,7.0,no,no,1.4,93.444,-36.1,4.965,5228,no
21695,33,admin.,married,7.0,yes,no,1.4,93.444,-36.1,4.963,5228,no
25430,40,blue-collar,married,2.0,yes,no,-0.1,93.2,-42.0,4.12,5196,no
6344,39,admin.,married,7.0,yes,yes,1.1,93.994,-36.4,4.857,5191,no
8911,36,blue-collar,married,5.0,yes,no,1.4,94.465,-41.8,4.866,5228,no
10627,39,unemployed,married,4.0,yes,no,1.4,94.465,-41.8,4.961,5228,no
18519,56,technician,divorced,7.0,yes,no,1.4,93.918,-42.7,4.968,5228,no
11896,58,admin.,married,7.0,,,1.4,94.465,-41.8,4.959,5228,no
16495,57,admin.,single,4.0,yes,no,1.4,93.918,-42.7,4.963,5228,no
28016,38,services,married,4.0,yes,no,-1.8,93.075,-47.1,1.483,5099,no
28860,45,blue-collar,married,,yes,no,-1.8,93.075,-47.1,1.41,5099,no
16259,53,management,married,7.0,no,no,1.4,93.918,-42.7,4.961,5228,no
38069,62,entrepreneur,married,7.0,no,no,-3.4,92.379,-29.8,0.77,5018,yes
22707,32,admin.,single,7.0,no,no,1.4,93.444,-36.1,4.964,5228,no
29947,35,blue-collar,married,2.0,no,no,-1.8,93.075,-47.1,1.405,5099,no
26238,40,services,single,3.0,no,no,-0.1,93.2,-42.0,4.076,5196,no
31737,37,services,married,4.0,yes,no,-1.8,92.893,-46.2,1.327,5099,no
35115,30,technician,single,6.0,no,no,-1.8,92.893,-46.2,1.25,5099,yes
8542,35,admin.,single,5.0,no,no,1.4,94.465,-41.8,4.864,5228,yes
26077,38,services,married,5.0,yes,yes,-0.1,93.2,-42.0,4.12,5196,no
10315,29,admin.,single,7.0,no,no,1.4,94.465,-41.8,4.96,5228,no
8031,45,admin.,divorced,7.0,no,no,1.4,94.465,-41.8,4.865,5228,no
31556,36,blue-collar,married,4.0,yes,no,-1.8,92.893,-46.2,1.327,5099,no
13016,27,admin.,single,6.0,yes,no,1.4,93.918,-42.7,4.962,5228,yes
40948,33,management,single,7.0,no,no,-1.1,94.601,-49.5,0.987,4964,no
35559,33,blue-collar,single,5.0,no,no,-1.8,92.893,-46.2,1.244,5099,yes
34026,31,blue-collar,divorced,5.0,no,no,-1.8,92.893,-46.2,1.281,5099,no
25172,49,blue-collar,married,3.0,no,no,-0.1,93.2,-42.0,4.153,5196,no
17790,57,admin.,single,7.0,no,no,1.4,93.918,-42.7,4.961,5228,no
38930,56,retired,married,7.0,no,no,-3.4,92.649,-30.1,0.716,5018,yes
28456,73,retired,divorced,2.0,no,yes,-1.8,93.075,-47.1,1.423,5099,yes
35393,32,technician,single,,yes,yes,-1.8,92.893,-46.2,1.25,5099,no
14254,22,blue-collar,single,4.0,yes,no,1.4,93.918,-42.7,4.962,5228,no
9298,55,unemployed,married,2.0,yes,yes,1.4,94.465,-41.8,4.967,5228,no
33165,44,admin.,divorced,5.0,no,no,-1.8,92.893,-46.2,1.291,5099,no
16086,35,services,single,5.0,no,no,1.4,93.918,-42.7,4.961,5228,no
31718,39,services,single,6.0,yes,no,-1.8,92.893,-46.2,1.327,5099,no
34143,38,blue-collar,divorced,4.0,yes,no,-1.8,92.893,-46.2,1.281,5099,no
8965,34,admin.,single,7.0,no,no,1.4,94.465,-41.8,4.866,5228,no
28452,42,admin.,single,6.0,yes,no,-1.8,93.075,-47.1,1.423,5099,no
690,40,admin.,divorced,7.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
11661,58,blue-collar,married,6.0,no,no,1.4,94.465,-41.8,4.959,5228,no
3245,27,services,single,5.0,no,no,1.1,93.994,-36.4,4.86,5191,no
24224,48,admin.,single,7.0,no,no,-0.1,93.2,-42.0,4.191,5196,no
8735,34,services,married,7.0,no,no,1.4,94.465,-41.8,4.864,5228,no
29252,48,unemployed,married,5.0,yes,no,-1.8,93.075,-47.1,1.405,5099,no
30862,35,blue-collar,married,3.0,yes,no,-1.8,92.893,-46.2,1.344,5099,no
40626,35,admin.,married,5.0,no,no,-1.1,94.199,-37.5,0.882,4964,yes
38181,63,retired,married,3.0,yes,no,-3.4,92.431,-26.9,0.752,5018,no
26928,39,blue-collar,married,3.0,yes,no,-0.1,93.2,-42.0,4.076,5196,no
37151,27,management,single,7.0,yes,no,-2.9,92.201,-31.4,0.884,5076,no
3224,36,services,married,5.0,no,no,1.1,93.994,-36.4,4.86,5191,no
25699,35,blue-collar,married,5.0,yes,no,-0.1,93.2,-42.0,4.12,5196,no
2416,37,services,married,5.0,yes,no,1.1,93.994,-36.4,4.856,5191,no
39901,27,technician,single,6.0,no,no,-1.7,94.055,-39.8,0.737,4992,no
20400,29,technician,single,5.0,no,no,1.4,93.444,-36.1,4.966,5228,no
28917,54,services,married,5.0,no,no,-1.8,93.075,-47.1,1.405,5099,no
25761,29,blue-collar,single,4.0,yes,no,-0.1,93.2,-42.0,4.12,5196,no
32228,32,admin.,married,7.0,no,no,-1.8,92.893,-46.2,1.313,5099,no
1307,48,blue-collar,married,2.0,no,no,1.1,93.994,-36.4,4.855,5191,no
5568,45,housemaid,married,6.0,no,no,1.1,93.994,-36.4,4.857,5191,no
19154,40,admin.,married,7.0,no,no,1.4,93.444,-36.1,4.968,5228,yes
7058,38,technician,married,6.0,yes,no,1.1,93.994,-36.4,4.86,5191,no
6383,52,self-employed,married,4.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
18514,32,admin.,married,5.0,no,no,1.4,93.918,-42.7,4.968,5228,yes
11583,42,blue-collar,married,4.0,yes,no,1.4,94.465,-41.8,4.959,5228,no
16309,27,blue-collar,single,3.0,yes,yes,1.4,93.918,-42.7,4.961,5228,no
38145,70,housemaid,divorced,2.0,yes,no,-3.4,92.379,-29.8,0.75,5018,no
1339,37,blue-collar,single,3.0,yes,no,1.1,93.994,-36.4,4.855,5191,no
35152,25,blue-collar,single,4.0,no,no,-1.8,92.893,-46.2,1.25,5099,no
235,44,admin.,married,6.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
576,41,admin.,divorced,5.0,no,no,1.1,93.994,-36.4,4.857,5191,no
11035,33,housemaid,married,5.0,,,1.4,94.465,-41.8,4.962,5228,no
37041,44,technician,single,6.0,yes,no,-2.9,92.469,-33.6,1.044,5076,no
19670,32,admin.,married,5.0,no,no,1.4,93.444,-36.1,4.968,5228,yes
29087,35,admin.,single,7.0,yes,no,-1.8,93.075,-47.1,1.405,5099,yes
14687,56,,divorced,2.0,no,no,1.4,93.918,-42.7,4.961,5228,no
27537,49,admin.,married,5.0,yes,no,-0.1,93.2,-42.0,4.021,5196,no
22041,32,technician,married,6.0,no,no,1.4,93.444,-36.1,4.964,5228,no
13693,33,admin.,single,5.0,yes,no,1.4,93.918,-42.7,4.963,5228,no
41095,31,admin.,single,7.0,yes,no,-1.1,94.767,-50.8,1.048,4964,no
14538,53,technician,divorced,5.0,yes,no,1.4,93.918,-42.7,4.961,5228,no
2282,46,management,single,7.0,no,no,1.1,93.994,-36.4,4.856,5191,no
11014,44,admin.,single,5.0,no,no,1.4,94.465,-41.8,4.962,5228,no
8298,25,admin.,married,7.0,yes,no,1.4,94.465,-41.8,4.864,5228,no
40414,72,housemaid,married,3.0,yes,no,-1.7,94.027,-38.3,0.905,4992,no
30760,35,blue-collar,single,5.0,no,no,-1.8,92.893,-46.2,1.344,5099,yes
4115,55,services,divorced,5.0,no,yes,1.1,93.994,-36.4,4.858,5191,no
23657,45,management,married,7.0,yes,no,1.4,93.444,-36.1,4.962,5228,no
29146,49,management,married,7.0,yes,yes,-1.8,93.075,-47.1,1.405,5099,no
17396,58,retired,divorced,2.0,yes,no,1.4,93.918,-42.7,4.962,5228,no
38847,50,admin.,married,7.0,no,no,-3.4,92.649,-30.1,0.714,5018,no
8953,37,technician,married,7.0,no,no,1.4,94.465,-41.8,4.866,5228,no
8771,54,admin.,divorced,7.0,no,no,1.4,94.465,-41.8,4.866,5228,no
10221,46,admin.,married,6.0,no,no,1.4,94.465,-41.8,4.96,5228,no
26349,38,entrepreneur,married,4.0,no,no,-0.1,93.2,-42.0,4.076,5196,no
32873,57,technician,married,5.0,yes,no,-1.8,92.893,-46.2,1.299,5099,no
10608,37,blue-collar,married,5.0,yes,no,1.4,94.465,-41.8,4.961,5228,no
21121,41,technician,married,6.0,no,no,1.4,93.444,-36.1,4.963,5228,no
39434,42,housemaid,divorced,2.0,yes,no,-1.8,93.749,-34.6,0.642,5009,no
31704,51,services,divorced,3.0,no,yes,-1.8,92.893,-46.2,1.327,5099,no
17681,57,retired,married,5.0,no,no,1.4,93.918,-42.7,4.961,5228,no
12149,29,self-employed,married,7.0,no,no,1.4,93.918,-42.7,4.955,5228,no
30717,39,blue-collar,married,4.0,no,no,-1.8,92.893,-46.2,1.344,5099,no
4947,30,blue-collar,single,5.0,yes,no,1.1,93.994,-36.4,4.858,5191,no
20437,31,admin.,single,7.0,yes,yes,1.4,93.444,-36.1,4.966,5228,no
38460,31,self-employed,single,7.0,no,no,-3.4,92.431,-26.9,0.73,5018,no
22571,47,blue-collar,married,4.0,no,no,1.4,93.444,-36.1,4.964,5228,no
11798,51,management,married,7.0,no,no,1.4,94.465,-41.8,4.959,5228,no
28935,32,management,single,7.0,no,no,-1.8,93.075,-47.1,1.405,5099,no
1827,29,management,single,7.0,yes,no,1.1,93.994,-36.4,4.855,5191,no
18879,47,entrepreneur,married,7.0,yes,yes,1.4,93.444,-36.1,4.97,5228,no
8333,35,admin.,married,5.0,yes,yes,1.4,94.465,-41.8,4.864,5228,no
2392,40,technician,married,6.0,no,no,1.1,93.994,-36.4,4.856,5191,no
5692,24,blue-collar,single,5.0,,,1.1,93.994,-36.4,4.857,5191,no
40907,48,technician,married,6.0,yes,yes,-1.1,94.601,-49.5,0.977,4964,yes
6231,37,technician,single,7.0,yes,no,1.1,93.994,-36.4,4.857,5191,no
11596,35,admin.,married,5.0,yes,yes,1.4,94.465,-41.8,4.959,5228,no
25944,33,entrepreneur,married,3.0,no,no,-0.1,93.2,-42.0,4.12,5196,no
23825,55,admin.,married,7.0,no,yes,1.4,93.444,-36.1,4.963,5228,no
40006,31,technician,single,7.0,yes,no,-1.7,94.055,-39.8,0.767,4992,no
40088,26,unemployed,single,5.0,yes,no,-1.7,94.215,-40.3,0.822,4992,no
28890,37,blue-collar,single,4.0,no,no,-1.8,93.075,-47.1,1.405,5099,no
12461,50,blue-collar,divorced,5.0,yes,yes,1.4,93.918,-42.7,4.96,5228,yes
23419,29,technician,single,6.0,no,no,1.4,93.444,-36.1,4.964,5228,no
31700,45,management,married,7.0,no,no,-1.8,92.893,-46.2,1.327,5099,yes
31015,31,admin.,married,7.0,no,no,-1.8,92.893,-46.2,1.344,5099,no
18100,40,unemployed,divorced,7.0,no,no,1.4,93.918,-42.7,4.963,5228,no
19496,46,technician,single,6.0,no,no,1.4,93.444,-36.1,4.968,5228,no
27883,32,technician,divorced,6.0,yes,yes,-1.8,92.843,-50.0,1.556,5099,yes
12374,51,retired,married,4.0,yes,no,1.4,93.918,-42.7,4.959,5228,no
841,38,technician,married,6.0,no,no,1.1,93.994,-36.4,4.856,5191,no
22810,48,services,married,4.0,yes,no,1.4,93.444,-36.1,4.965,5228,no
11972,32,blue-collar,single,4.0,yes,no,1.4,94.465,-41.8,4.958,5228,no
19844,46,admin.,married,6.0,yes,no,1.4,93.444,-36.1,4.966,5228,no
459,40,blue-collar,married,3.0,no,yes,1.1,93.994,-36.4,4.857,5191,no
1132,43,blue-collar,married,2.0,no,no,1.1,93.994,-36.4,4.856,5191,no
22667,31,technician,married,6.0,yes,yes,1.4,93.444,-36.1,4.964,5228,no
25341,57,retired,married,5.0,no,no,-0.1,93.2,-42.0,4.153,5196,no
2907,35,management,married,7.0,yes,yes,1.1,93.994,-36.4,4.859,5191,no
10856,35,blue-collar,single,2.0,no,no,1.4,94.465,-41.8,4.962,5228,no
35893,59,technician,married,6.0,yes,no,-1.8,92.893,-46.2,1.259,5099,no
27612,50,admin.,married,7.0,yes,no,-0.1,93.2,-42.0,4.021,5196,no
22997,38,technician,married,7.0,yes,no,1.4,93.444,-36.1,4.965,5228,yes
8061,52,technician,divorced,6.0,yes,no,1.4,94.465,-41.8,4.865,5228,no
2876,28,entrepreneur,married,2.0,no,no,1.1,93.994,-36.4,4.859,5191,no
7500,30,admin.,married,,yes,no,1.1,93.994,-36.4,4.864,5191,no
38201,36,admin.,married,7.0,yes,no,-3.4,92.431,-26.9,0.74,5018,no
4737,30,admin.,single,7.0,no,no,1.1,93.994,-36.4,4.858,5191,yes
12692,37,technician,single,7.0,no,no,1.4,93.918,-42.7,4.96,5228,no
30383,66,unemployed,single,2.0,yes,no,-1.8,93.075,-47.1,1.365,5099,yes
32979,43,services,divorced,6.0,no,no,-1.8,92.893,-46.2,1.299,5099,no
20003,46,blue-collar,married,2.0,no,no,1.4,93.444,-36.1,4.966,5228,no
16758,39,services,divorced,5.0,no,yes,1.4,93.918,-42.7,4.962,5228,no
19609,33,admin.,married,7.0,no,no,1.4,93.444,-36.1,4.968,5228,no
27,39,self-employed,married,4.0,no,no,1.1,93.994,-36.4,4.857,5191,no
19324,33,technician,single,6.0,yes,no,1.4,93.444,-36.1,4.967,5228,no
29175,43,blue-collar,married,3.0,yes,no,-1.8,93.075,-47.1,1.405,5099,no
28886,51,blue-collar,married,4.0,yes,no,-1.8,93.075,-47.1,1.405,5099,no
19326,33,technician,single,6.0,yes,no,1.4,93.444,-36.1,4.967,5228,no
1893,33,services,married,5.0,no,no,1.1,93.994,-36.4,4.855,5191,no
36965,63,retired,divorced,7.0,no,yes,-2.9,92.469,-33.6,1.072,5076,no
24489,42,blue-collar,divorced,4.0,yes,no,-0.1,93.2,-42.0,4.191,5196,no
38164,49,technician,divorced,,no,no,-3.4,92.431,-26.9,0.754,5018,no
