"","X","age","job","marital","education","housing","loan","education_imp","job_imp","loan_imp","housing_imp","marital_imp","y"
"71",70,41,"management","married","3","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"72",71,44,"management","divorced","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"73",72,47,"admin.","married","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"74",73,57,"blue-collar","married","4","no","no",TRUE,TRUE,FALSE,FALSE,FALSE,"no"
"75",74,37,"admin.","married","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"76",75,41,"blue-collar","divorced","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"yes"
"77",76,55,"technician","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"78",77,33,"services","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"79",78,55,"management","married","7","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"80",79,42,"blue-collar","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"81",80,50,"blue-collar","married","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"82",81,51,"blue-collar","married","2","yes","no",FALSE,FALSE,TRUE,TRUE,FALSE,"no"
"83",82,38,"admin.","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"84",83,49,"entrepreneur","married","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"yes"
"85",84,38,"technician","single","7","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"86",85,31,"admin.","divorced","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"87",86,41,"management","married","3","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"88",87,39,"admin.","married","7","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"89",88,49,"technician","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"yes"
"90",89,34,"admin.","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"91",90,35,"admin.","married","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"92",91,57,"admin.","married","7","yes","no",TRUE,TRUE,FALSE,FALSE,FALSE,"no"
"93",92,60,"admin.","married","7","no","yes",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"94",93,33,"unemployed","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"95",94,42,"blue-collar","married","3","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"96",95,45,"services","married","6","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"97",96,42,"management","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"98",97,53,"admin.","divorced","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"99",98,37,"technician","single","6","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"100",99,44,"blue-collar","married","3","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"101",100,54,"services","married","7","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"102",101,49,"blue-collar","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"103",102,54,"services","married","7","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"104",103,52,"admin.","divorced","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"105",104,52,"admin.","divorced","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"106",105,43,"services","single","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"107",106,34,"housemaid","married","3","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"108",107,35,"admin.","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"109",108,42,"entrepreneur","married","2","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"110",109,43,"technician","married","6","yes","yes",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"111",110,60,"retired","divorced","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"112",111,58,"unemployed","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"113",112,35,"services","divorced","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"114",113,55,"blue-collar","married","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"115",114,37,"management","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"116",115,36,"blue-collar","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"117",116,52,"admin.","divorced","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"118",117,57,"blue-collar","divorced","7","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"119",118,56,"admin.","married","6","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"120",119,48,"blue-collar","divorced","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"121",120,40,"blue-collar","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"122",121,49,"blue-collar","divorced","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"123",122,41,"services","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"124",123,45,"technician","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"125",124,32,"admin.","married","7","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"126",125,42,"admin.","married","7","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"127",126,50,"admin.","married","3","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"128",127,31,"technician","divorced","6","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"129",128,56,"retired","married","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"130",129,41,"technician","married","6","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"yes"
"131",130,37,"blue-collar","married","3","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"132",131,41,"technician","married","6","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"133",132,35,"blue-collar","married","5","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"134",133,37,"blue-collar","married","3","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"135",134,52,"management","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"136",135,39,"management","divorced","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"137",136,39,"housemaid","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"138",137,56,"blue-collar","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"139",138,34,"services","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"140",139,45,"blue-collar","married","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"yes"
"141",140,43,"unemployed","single","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"142",141,56,"management","married","5","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"143",142,39,"management","married","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"144",143,53,"blue-collar","married","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"145",144,38,"blue-collar","divorced","5","yes","no",FALSE,TRUE,FALSE,FALSE,FALSE,"no"
"146",145,42,"blue-collar","married","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"147",146,42,"blue-collar","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"148",147,35,"admin.","single","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"149",148,40,"admin.","married","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"150",149,51,"blue-collar","married","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"151",150,60,"blue-collar","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"152",151,56,"entrepreneur","married","5","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"153",152,39,"services","divorced","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"154",153,56,"entrepreneur","married","7","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"155",154,40,"blue-collar","married","4","yes","yes",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"156",155,36,"blue-collar","married","4","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"157",156,51,"blue-collar","married","2","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"158",157,51,"blue-collar","married","7","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"159",158,43,"technician","single","6","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"160",159,59,"services","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"161",160,24,"management","single","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"162",161,37,"blue-collar","single","4","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"163",162,40,"blue-collar","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"164",163,42,"blue-collar","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"165",164,39,"services","divorced","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"166",165,37,"entrepreneur","married","3","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"167",166,38,"services","married","5","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"168",167,56,"admin.","divorced","4","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"169",168,40,"blue-collar","married","7","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"170",169,54,"management","divorced","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"171",170,43,"blue-collar","married","5","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"172",171,36,"services","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"173",172,45,"technician","married","7","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"174",173,42,"admin.","single","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"175",174,43,"services","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"176",175,46,"management","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"177",176,44,"services","married","5","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"178",177,51,"admin.","single","3","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"179",178,28,"services","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"180",179,37,"blue-collar","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"181",180,34,"technician","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"182",181,46,"blue-collar","married","3","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"183",182,42,"blue-collar","married","4","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"yes"
"184",183,36,"admin.","married","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"185",184,54,"blue-collar","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"186",185,57,"management","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"187",186,51,"technician","married","3","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"188",187,54,"retired","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"189",188,49,"blue-collar","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"190",189,34,"admin.","married","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"191",190,41,"technician","married","6","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"192",191,38,"blue-collar","single","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"193",192,45,"management","divorced","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"194",193,42,"technician","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"195",194,34,"blue-collar","single","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"196",195,48,"blue-collar","married","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"197",196,37,"admin.","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"198",197,34,"blue-collar","single","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"199",198,40,"admin.","married","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"200",199,43,"blue-collar","married","3","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"201",200,33,"services","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"202",201,32,"services","single","3","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"203",202,39,"blue-collar","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"204",203,43,"admin.","married","2","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"205",204,44,"blue-collar","married","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"206",205,35,"student","single","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"207",206,35,"student","single","7","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"208",207,35,"unemployed","married","6","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"209",208,36,"services","single","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"210",209,35,"student","single","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"211",210,36,"student","single","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"212",211,55,"housemaid","divorced","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"213",212,59,"admin.","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"214",213,57,"retired","married","4","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"215",214,39,"blue-collar","married","6","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"216",215,39,"housemaid","married","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"217",216,30,"blue-collar","single","6","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"218",217,30,"blue-collar","single","7","yes","yes",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"219",218,50,"housemaid","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"220",219,40,"services","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"221",220,35,"admin.","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"222",221,43,"technician","married","6","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"223",222,36,"services","single","3","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"224",223,46,"technician","married","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"225",224,40,"technician","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"226",225,58,"retired","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"227",226,42,"technician","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"228",227,35,"admin.","single","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"229",228,43,"retired","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"230",229,45,"blue-collar","married","2","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"231",230,39,"admin.","married","6","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"232",231,50,"services","divorced","6","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"233",232,32,"management","divorced","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"234",233,39,"admin.","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"235",234,52,"self-employed","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"236",235,44,"admin.","married","6","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"237",236,56,"blue-collar","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"238",237,48,"admin.","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"239",238,33,"services","married","5","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"240",239,43,"management","married","7","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"241",240,57,"retired","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"242",241,36,"technician","single","6","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"243",242,34,"management","married","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"244",243,34,"services","single","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"245",244,30,"technician","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"246",245,33,"services","divorced","7","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"247",246,32,"technician","single","6","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"248",247,36,"technician","single","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"249",248,36,"blue-collar","single","5","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"250",249,33,"services","single","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"251",250,40,"technician","divorced","6","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"252",251,41,"blue-collar","married","2","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"253",252,51,"services","married","3","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"254",253,36,"technician","married","6","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"255",254,28,"services","married","3","no","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"256",255,53,"services","married","5","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"257",256,58,"blue-collar","married","4","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"258",257,45,"management","married","4","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"259",258,43,"technician","married","5","yes","no",TRUE,FALSE,FALSE,FALSE,FALSE,"no"
"260",259,33,"admin.","married","5","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"261",260,33,"admin.","married","5","no","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"262",261,27,"blue-collar","single","3","yes","no",FALSE,FALSE,TRUE,TRUE,FALSE,"no"
"263",262,42,"technician","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"264",263,43,"admin.","divorced","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"265",264,42,"admin.","married","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"266",265,27,"blue-collar","single","3","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"267",266,34,"self-employed","single","7","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"268",267,31,"student","single","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"269",268,54,"management","divorced","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"270",269,40,"self-employed","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"271",270,52,"unemployed","married","5","yes","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"272",271,47,"management","divorced","7","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"273",272,49,"housemaid","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"274",273,32,"admin.","single","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"275",274,49,"housemaid","single","5","yes","yes",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"276",275,50,"blue-collar","married","4","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"277",276,34,"services","married","5","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
"278",277,55,"blue-collar","married","2","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,"no"
