"","X","age","job","marital","education","housing","loan","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"169",168,40,"blue-collar","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"170",169,54,"management","divorced","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"171",170,43,"blue-collar","married","5","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"172",171,36,"services","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"173",172,45,"technician","married","7","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"174",173,42,"admin.","single","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"175",174,43,"services","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"176",175,46,"management","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"177",176,44,"services","married","5","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"178",177,51,"admin.","single","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"179",178,28,"services","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"180",179,37,"blue-collar","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"181",180,34,"technician","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"182",181,46,"blue-collar","married","3","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"183",182,42,"blue-collar","married","4","yes","yes",1.1,93.994,-36.4,4.857,5191,"yes"
"184",183,36,"admin.","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"185",184,54,"blue-collar","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"186",185,57,"management","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"187",186,51,"technician","married","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"188",187,54,"retired","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"189",188,49,"blue-collar","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"190",189,34,"admin.","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"191",190,41,"technician","married","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"192",191,38,"blue-collar","single","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"193",192,45,"management","divorced","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"194",193,42,"technician","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"195",194,34,"blue-collar","single","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"196",195,48,"blue-collar","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"197",196,37,"admin.","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"198",197,34,"blue-collar","single","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"199",198,40,"admin.","married","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"200",199,43,"blue-collar","married","3","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"201",200,33,"services","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"202",201,32,"services","single","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"203",202,39,"blue-collar","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"204",203,43,"admin.","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"205",204,44,"blue-collar","married","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"206",205,35,"student","single","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"207",206,35,"student","single","7","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"208",207,35,"unemployed","married","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"209",208,36,"services","single","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"210",209,35,"student","single","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"211",210,36,"student","single","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"212",211,55,"housemaid","divorced","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"213",212,59,"admin.","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"214",213,57,"retired","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"215",214,39,"blue-collar","married","6","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"216",215,39,"housemaid","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"217",216,30,"blue-collar","single","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"218",217,30,"blue-collar","single","NA","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"219",218,50,"housemaid","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"220",219,40,"services","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"221",220,35,"admin.","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"222",221,43,"technician","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"223",222,36,"services","single","3","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"224",223,46,"technician","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"225",224,40,"technician","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"226",225,58,"retired","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"227",226,42,"technician","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"228",227,35,"admin.","single","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"229",228,43,"retired","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"230",229,45,"blue-collar","married","2","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"231",230,39,"admin.","married","6","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"232",231,50,"services","divorced","6","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"233",232,32,"management","divorced","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"234",233,39,"admin.","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"235",234,52,"self-employed","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"236",235,44,"admin.","married","6","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"237",236,56,"blue-collar","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"238",237,48,"admin.","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"239",238,33,"services","married","5","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"240",239,43,"management","married","7","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"241",240,57,"retired","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"242",241,36,"technician","single","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"243",242,34,"management","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"244",243,34,"services","single","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"245",244,30,"technician","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"246",245,33,"services","divorced","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"247",246,32,"technician","single","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"248",247,36,"technician","single","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"249",248,36,"blue-collar","single","5","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"250",249,33,"services","single","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"251",250,40,"technician","divorced","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"252",251,41,"blue-collar","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"253",252,51,"services","married","3","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"254",253,36,"technician","married","6","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"255",254,28,"services","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"256",255,53,"services","married","5","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"257",256,58,"blue-collar","married","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"258",257,45,"management","married","4","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"259",258,43,"technician","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"260",259,33,"admin.","married","5","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"261",260,33,"admin.","married","5","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"262",261,27,"blue-collar","single","3","NA","NA",1.1,93.994,-36.4,4.857,5191,"no"
"263",262,42,"technician","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"264",263,43,"admin.","divorced","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"265",264,42,"admin.","married","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"266",265,27,"blue-collar","single","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"267",266,34,"self-employed","single","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"268",267,31,"student","single","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"269",268,54,"management","divorced","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"270",269,40,"self-employed","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"271",270,52,"unemployed","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"272",271,47,"management","divorced","7","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"273",272,49,"housemaid","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"274",273,32,"admin.","single","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"275",274,49,"housemaid","single","5","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"276",275,50,"blue-collar","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"277",276,34,"services","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"278",277,55,"blue-collar","married","2","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"279",278,47,"technician","single","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"280",279,51,"retired","married","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"281",280,47,"blue-collar","married","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"282",281,56,"technician","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"283",282,53,"admin.","married","4","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"284",283,36,"blue-collar","married","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"285",284,42,"blue-collar","divorced","4","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"286",285,44,"blue-collar","divorced","3","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"287",286,39,"housemaid","married","4","yes","no",1.1,93.994,-36.4,4.857,5191,"yes"
"288",287,37,"admin.","single","5","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"289",288,60,"blue-collar","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"290",289,36,"services","married","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"291",290,42,"management","divorced","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"292",291,31,"admin.","married","5","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
"293",292,53,"technician","divorced","6","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"294",293,45,"blue-collar","married","2","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"295",294,37,"technician","single","6","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"296",295,47,"self-employed","married","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"297",296,49,"blue-collar","divorced","5","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"298",297,36,"admin.","married","7","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"299",298,35,"services","divorced","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"300",299,38,"NA","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"301",300,38,"services","single","5","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"302",301,50,"blue-collar","divorced","5","no","yes",1.1,93.994,-36.4,4.857,5191,"no"
"303",302,59,"retired","married","6","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"304",303,43,"NA","married","NA","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"305",304,42,"admin.","married","5","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"306",305,40,"admin.","married","3","yes","no",1.1,93.994,-36.4,4.857,5191,"no"
"307",306,46,"blue-collar","married","NA","no","no",1.1,93.994,-36.4,4.857,5191,"no"
"308",307,57,"housemaid","divorced","2","yes","yes",1.1,93.994,-36.4,4.857,5191,"no"
